epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,935.483,0.3829,0.28873,0.93677,0.99912,0.98214,0.99482,0.97521,0.24875,0.22743,0.81915,0.0011486,0.0011486,0.0011486
45,959.2,0.35128,0.27438,0.91454,0.99892,1,0.995,0.98463,0.25293,0.20605,0.81457,0.0011288,0.0011288,0.0011288
46,986.268,0.35987,0.28369,0.92971,0.99736,1,0.995,0.98477,0.22289,0.18705,0.78803,0.001109,0.001109,0.001109
47,1011.73,0.38034,0.2843,0.92997,0.99873,1,0.995,0.97302,0.24959,0.19115,0.79345,0.0010892,0.0010892,0.0010892
48,1037.64,0.36999,0.26798,0.93254,0.99623,1,0.995,0.98958,0.24198,0.17945,0.79401,0.0010694,0.0010694,0.0010694
49,1065.55,0.35765,0.26505,0.92917,0.99884,1,0.995,0.99144,0.19256,0.17649,0.78079,0.0010496,0.0010496,0.0010496
50,1091.47,0.35087,0.26997,0.91507,0.99523,1,0.995,0.98852,0.20923,0.19416,0.78033,0.0010298,0.0010298,0.0010298
51,1117.75,0.36147,0.2761,0.91663,0.9965,1,0.995,0.98845,0.19736,0.17256,0.77558,0.00101,0.00101,0.00101
52,1144.91,0.36609,0.29152,0.94308,0.98221,1,0.995,0.97722,0.23966,0.21927,0.8056,0.0009902,0.0009902,0.0009902
53,1170.84,0.34881,0.27223,0.92542,0.99822,1,0.995,0.98864,0.20812,0.19232,0.77962,0.0009704,0.0009704,0.0009704
54,1197.68,0.33006,0.25942,0.91445,1,0.99687,0.995,0.98498,0.22428,0.19498,0.79538,0.0009506,0.0009506,0.0009506
55,1224.42,0.32797,0.27286,0.90898,0.99585,1,0.995,0.99305,0.18972,0.18644,0.77414,0.0009308,0.0009308,0.0009308
56,1251.22,0.32417,0.25034,0.91075,0.99865,1,0.995,0.995,0.19802,0.18126,0.7711,0.000911,0.000911,0.000911
57,1278.24,0.32832,0.25781,0.90399,0.99304,1,0.995,0.98279,0.20191,0.19708,0.77836,0.0008912,0.0008912,0.0008912
58,1306.19,0.3364,0.2546,0.91979,0.99905,1,0.995,0.97756,0.25241,0.18369,0.80343,0.0008714,0.0008714,0.0008714
