epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1993.55,0.71789,0.73155,1.15259,0.98099,0.93333,0.98794,0.66483,0.96925,0.59277,1.4523,0.0011684,0.0011684,0.0011684
44,2089.4,0.66287,0.69437,1.1216,0.98137,0.93333,0.95932,0.7185,0.97016,0.60751,1.46898,0.0011486,0.0011486,0.0011486
45,2188.19,0.67647,0.69262,1.11761,0.96267,0.93333,0.95695,0.68874,0.79253,0.68141,1.33751,0.0011288,0.0011288,0.0011288
46,2292.47,0.70047,0.71998,1.10091,0.83984,0.93333,0.96696,0.7275,0.75327,0.57576,1.19393,0.001109,0.001109,0.001109
47,2392.37,0.70145,0.6901,1.13332,0.91232,0.86667,0.95905,0.68952,0.69157,0.57146,1.16235,0.0010892,0.0010892,0.0010892
48,2485.28,0.68757,0.68795,1.11556,0.93725,0.99606,0.99125,0.67243,0.92289,0.57489,1.43,0.0010694,0.0010694,0.0010694
49,2568.09,0.70685,0.70029,1.12649,1,0.90803,0.94447,0.70888,0.79622,0.61123,1.35583,0.0010496,0.0010496,0.0010496
50,2665.26,0.70622,0.71189,1.15831,0.87998,0.97849,0.95113,0.70091,0.7246,0.61889,1.24672,0.0010298,0.0010298,0.0010298
51,2763.37,0.73297,0.72966,1.16906,0.97039,1,0.995,0.71546,0.72521,0.45416,1.18416,0.00101,0.00101,0.00101
52,2863.19,0.6444,0.63013,1.09622,0.98943,1,0.995,0.70337,0.92771,0.58427,1.41184,0.0009902,0.0009902,0.0009902
53,2962.18,0.62947,0.6696,1.06692,1,0.72759,0.88887,0.61476,0.77898,0.61436,1.29176,0.0009704,0.0009704,0.0009704
54,3056.11,0.64888,0.63284,1.08107,0.93232,0.91909,0.96783,0.68741,0.74487,0.49283,1.32614,0.0009506,0.0009506,0.0009506
55,3153.97,0.63667,0.61332,1.08661,0.82336,0.93234,0.954,0.67833,0.73384,0.54194,1.38754,0.0009308,0.0009308,0.0009308
56,3251.38,0.62829,0.59749,1.06373,0.92521,0.86667,0.95405,0.66195,0.96585,0.65211,1.58784,0.000911,0.000911,0.000911
